cod_geo,País,Sigla,Institución,Nombre de la Iniciativa,Área,"Política, Planes, Programas, Iniciativas/Proyectos",Fecha,Finalidad,Descripción,Link ,Link 2
DO,República Dominicana,RD,Ministerio de la Mujer,"""Comprobante Fiscal 212”",Violencia Doméstica/VIF,Proyectos/Iniciativas,01/04/2020,Atención y respuesta,Protocolo para asistir y ayudar a mujeres víctimas de violencia desde los comercios.,https://mujer.gob.do/,https://mujer.gob.do/index.php/noticias/item/579-el-ministerio-de-la-mujer-y-los-supermercados-del-grupo-ramos-se-alian-en-campana-de-deteccion-y-asistencia-a-mujeres-victimas-de-violencia
BO,Bolivia ,BO,Defensoría del Pueblo,"""Me ha engañado"" La historia de Janet - Documental sobre el Femicidio",Violencia Doméstica/VIF,Proyectos/Iniciativas,30/05/2020,Prevención,Documental producido por la Defensoría del Pueblo Bolivia que busca concientizar sobre el femicidio a sus espectadores.,https://www.facebook.com/watch/?v=700234590777034,
MX,México,MX,Unión Europea - Organización de las Naciones Unidas,"#NoEstásSola, contra la violencia hacia las mujeres en el hogar",Violencia Doméstica/VIF,Planes y Programas,28/05/2020,Prevención,"La Iniciativa Spotlight en México, Programa de Naciones Unidas y la Unión Europea con el Gobierno de México para la prevención y eliminación del feminicidio, lanza el video #NoEstásSola, enfocado en la prevención de la violencia contra las mujeres en el hogar, en el marco de las acciones emergentes en la materia en tiempos de COVID-19. En materia atención y respuesta ponen a disposición número, teléfonos y direcciones a dónde acudir para obtener mayor información o asistencia directa por casos de violencia intrafamiliar/doméstica. ",http://www.spotlightinitiative.org/es/news/noestassola-contra-la-violencia-hacia-las-mujeres-en-el-hogar,
#N/D,Organismo Internacional ,OI,UNICEF - Colombia,"¿Cómo proteger y acompañar niñas, niños y adolescentes en época de aislamiento?",Ciberbullying,Productos/Recursos,-,Prevención,Sitio web Escuela de influenciadores. Iniciativa de UNICEF para difundir conocimientos y recursos para tener espacios seguros en la red.,https://ciberconscientes.com/como-proteger-y-acompanar-ninas-ninos-y-adolescentes-en-epoca-de-aislamiento/,
PE,Perú,PE,Defensoría del Pueblo,¿Qué pasó con ellas durante el aislamiento obligatorio? Reporte Igualdad y Violencia No. 04 mayo 2020 ,Violencia Doméstica/VIF,Productos/Recursos,04/05/2020,Información estadística,Comparativo mensual de mujeres reportadas como desaparecidas  y femicidios durante la pandemia durante los meses de abril y mayo.,https://www.defensoria.gob.pe/wp-content/uploads/2020/06/Qu%C3%A9-pas%C3%B3-con-ellas-durante-la-cuarentena-mayo.pdf,
PE,Perú,PE,Ministerio de la Mujer y Poblaciones Vulnerables,¿Qué situaciones son violencia contra las mujeres y el grupo familiar?,Violencia Doméstica/VIF,Productos/Recursos,10/05/2020,Prevención,Identifica acciones violentas y ofrece recomendaciones para pedir ayuda.,https://observatorioviolencia.pe/wp-content/uploads/2020/05/comic1_final.jpg,
CR,Costa Rica,CR,Mesa de Protección Social,"56 medidas que derivan de la mesa de Protección Social para la atención de población vulnerable (NNA, mujeres, indígenas, otros)",Violencia Doméstica/VIF,Planes y Programas,30/03/2020,Atención y respuesta,"Medidas institucionales para la protección social durante la pandemia (mujeres, personas con discapacidad, menores de edad, población indígena, personas en situación de calle; familias en condición de pobreza).",https://www.imas.go.cr/es/comunicado/gobierno-presenta-medidas-de-primera-respuesta-en-materia-de-proteccion-social,
CO,Colombia,CO,Policía Nacional,Acciones de Prevención y Educación ,Ciberbullying,Proyectos/Iniciativas,20/05/2020,Prevención,Videoconferencias dirigidas a estudiantes con el fin de mantenerlos protegidos de las amenazas en el mundo virtual o ciberespacio.  ,https://www.policia.gov.co/noticia/estrategia-virtual-seguridad-nuestros-ninos-ninas-y-adolescentes,
EC,Ecuador,EC,Secretaria de Derechos Humanos,Activación del Sistema Integral de Protección a víctimas de Violencia ,Violencia Doméstica/VIF,Proyectos/Iniciativas,01/07/2020,Atención y respuesta,"Activación del Sistema de Protección Integral de víctimas de violencia con: Juntas Cantonales de Protección de Derechos, Fiscalía, Ministerio de Gobierno, reportes de ciudadanía en general. Atención a víctimas de violencia a través del Sistema Integral de Protección a víctimas de Violencia.  Promoción de campaña de difusión para la prevención de violencia intrafamiliar. ",https://www.gestionderiesgos.gob.ec/wp-content/uploads/2020/07/Informe-de-Situaci%C3%B3n-No051-Casos-Coronavirus-Ecuador-10072020-1.pdf,
HN,Honduras,HN,Órgano Judicial,Acuerdo No. PCSJ 33-2020. Medidas del Órgano Judicial ante COVID-19,Violencia Doméstica/VIF,Proyectos/Iniciativas,31/05/2020,Atención y respuesta,Se mantiene el funcionamiento de las instancias judiciales en caso de violencia doméstica ante la emergencia sanitaria. ,http://www.poderjudicial.gob.hn/SiteAssets/Paginas/Mayo2020/ACUERDOPCSJNo33-2020.pdf,http://www.poderjudicial.gob.hn/SiteAssets/Paginas/CSJHN/ACUERDOPCSJ-28-2020.pdf
