"Política, Planes, Programas, Iniciativas/Proyectos",Fecha,País,Nombre de la Iniciativa,Institución
Proyectos/Iniciativas,17/05/2020,Argentina,Campaña #NoDaCompartir,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo"
Productos/Recursos,06/04/2020,Argentina,Entrá y Divertite: Guía de recomendaciones y recursos para adolescentes,"Secretaría Nacional de Niñez, Adolescencia y Familia"
Proyectos/Iniciativas,20/08/2020,Brasil,Enfrentando a violencia on-line contra adolescentes no contexto da pandemia de COVID-19,
Productos/Recursos,01/04/2019,Chile,"Guía informativa ""¿Qué hacer en caso de ciberbullying?""",Superintendencia de Educación
Proyectos/Iniciativas,01/07/2020,Chile,Orientaciones para prevenir el ciberacoso - Rol de los adultos y del establecimiento educacional,Superintendencia de Educación
Proyectos/Iniciativas,01/05/2019,Chile,Campaña  #YoAprendoQueHacer,Superintendencia de Educación
Proyectos/Iniciativas,17/06/2020,Chile,"Webinar ""Ciberacoso en tiempos de pandemia""",Superintendencia de Educación
Proyectos/Iniciativas,01/07/2020,Chile,Hablemos de Todo,Instituto de la Juventud 
Proyectos/Iniciativas,01/05/2020,Chile,Curso en línea Ciberseguridad en entornos de aprendizaje digital,Servicio Nacional de Capacitación y Empleo
Productos/Recursos,01/07/2020,Chile,Amigos por internet,Equipo de Respuesta ante Incidentes de Seguridad Informática
Proyectos/Iniciativas,24/07/2020,Chile,Resultados de encuesta,Equipo de Respuesta ante Incidentes de Seguridad Informática
Productos/Recursos,01/08/2020,Chile,"Revista Ciber Sucesos, Tema: Ciberbullying y Grooming",Equipo de Respuesta ante Incidentes de Seguridad Informática
Planes y Programas,27/03/2020,Colombia,Convivencia Digital: Campañas de Buenas prácticas Digitales,Ministerio de Tecnologías de la Información y las Comunicaciones
Planes y Programas,01/03/2020,Colombia,Lineamientos del Plan TIC “El Futuro Digital es de Todos”. Recomendaciones para los Planes de Desarrollo Territoriales 2020 - 2023,Ministerio de Tecnologías de la Información y las Comunicaciones
Proyectos/Iniciativas,20/05/2020,Colombia,Acciones de Prevención y Educación ,Policía Nacional
Proyectos/Iniciativas,30/07/2020,Colombia,Reto Comic para prever Ciberacoso,Ministerio de Tecnologías de la Información y las Comunicaciones
Proyectos/Iniciativas,18/06/2020,Colombia,Serie web #Emitan,
Proyectos/Iniciativas,08/07/2020,Colombia,"Ciclo de charlas lúdicas ""En TIC Confío""",Ministerio de las Tecnologías de la Información y las Comunicaciones
Proyectos/Iniciativas,07/04/2020,Colombia,Diez recomendaciones para incentivar la navegación segura en Internet y las redes sociales durante esta temporada en casa,Ministerio de las Tecnologías de la Información y las Comunicaciones
Proyectos/Iniciativas,16/07/2020,Costa Rica,Campaña: “Alto al Ciberbullying” ,"Ministerio de Educación Pública, Colegio de Profesionales de Psicología, Patronato Nacional de la Infancia"
Proyectos/Iniciativas,16/07/2020,Costa Rica,Sitio web: Alto al Ciberbullying #Silenciosamente,
Proyectos/Iniciativas,29/05/2020,Ecuador,Capacitación “Violencia de género y decibelios” dirigido a docentes y representantes estudiantiles,
Productos/Recursos,01/07/2020,Ecuador,"Revista Científica de Ciencias Jurídicas, Criminología y Seguridad, Fiscalía General del Estado, Child Grooming",Fiscalía General del Estado
Proyectos/Iniciativas,16/03/2020,Ecuador,Protocolo de actuación frente a situaciones de violencia en el contexto de la Declaración de Emergencia Sanitaria por COVID-19,Ministerio de Educación 
Planes y Programas,06/04/2020,Ecuador,Internet Segura,"Ministerio de Educación (Mineduc), Dirección Nacional de Registro de Datos Públicos (Dinardap), Consejo Nacional de Igualdad Intergeneracional (CNII), la Asociación Ecuatoriana de Ciberseguridad (AECI) y la organización ChildFund."
Proyectos/Iniciativas,01/04/2020,Ecuador,"Protocolos y rutas de actuación frente a situaciones de violencia detectadas o cometidas en el sistema educativo, Tercera Edición",Ministerio de Educación
Productos/Recursos,12/05/2020,Ecuador,Plan Educativo COVID-19,Ministerio de Educación
Proyectos/Iniciativas,19/08/2020,Honduras,"Seminario virtual: ""El Ciberbullying/ciberacoso, qué es y cómo prevenirlo""",Secretaria de Educación
Proyectos/Iniciativas,01/08/2020,Jamaica,Recomendaciones a padres y madres de familia,"Minister of education, youth and information"
Proyectos/Iniciativas,31/08/2020,México,Capacitación en Ciberbullying y sexting,Secretaría de Educación y Cultura (SEC)
Proyectos/Iniciativas,23/04/2020,México,Ciberseguridad y prevención de las violencias contra niñas y adolescentes,"Sistema Nacional de Protección Integral de Niñas, Niños y Adolescentes"
Proyectos/Iniciativas,01/06/2020,México,"Curso en línea: ""Actúa frente al Ciberbullying""",Secretaría de Educación
Proyectos/Iniciativas,06/06/2020,México,"Encuesta: ""El uso seguro de Internet desde la mirada de niñas, niños y adolescentes""","Red Nacional de Difusores de los Derechos de Niñas, Niños y Adolescentes"
Proyectos/Iniciativas,01/07/2020,México,"Boletín Informativo: ""Las mujeres y el Acoso Cibernético""",Instituto Nacional de las Mujeres
Proyectos/Iniciativas,14/07/2020,México,Primer informe de avance y resultados de la Administración Pública Federal,"Sistema Nacional de Protección Integral de Niñas, Niños y Adolescentes"
Proyectos/Iniciativas,15/05/2020,Nicaragua,"Campaña: ""Mujeres por La vida, Mujeres, Paz y Bien""",Ministerio de La Mujer
Productos/Recursos,15/05/2020,Panamá,Módulo de formación y prevención de Ciberbullying,Ministerio de Educación 
Proyectos/Iniciativas,21/07/2020,Paraguay,Seminario: “Seamos ciudadanos” y “Aulas libres de violencia”,Ministerio de Educación
