word,n,Fuente
#Mascarilla19,300,Elaboración propia
#NoestásSola,287,Elaboración propia
#ConvivenciaSinViolencia,277,Elaboración propia
#MujerEcuadorTeAcompaña,274,Elaboración propia
#BarbijoRojo,202,Elaboración propia
violencia de genero,151,Elaboración propia
domestic violence,121,Elaboración propia
numero violencia domestica,118,Elaboración propia
violencia domestica,100,Elaboración propia
no violencia contra la mujer,100,Elaboración propia
domestic violence against women,91,Elaboración propia
#SeguimosPendienteDevos,90,Elaboración propia
#CuarentenaLibreDeViolencia,89,Elaboración propia
violencia domestica contra mulher,87,Elaboración propia
que es la violencia contra la mujer,87,Elaboración propia
ley violencia contra la mujer,83,Elaboración propia
violencia domestica no brasil,74,Elaboración propia
#MetetePodemosEvitarMásFeminicidios,70,Elaboración propia
ley de violencia contra la mujer,67,Elaboración propia
#HazloPorEllas,64,Elaboración propia
que es violencia domestica,62,Elaboración propia
violencia domestica quarentena,56,Elaboración propia
tipos de violencia,56,Elaboración propia
que es la violencia domestica,52,Elaboración propia
tipos de violencia contra la mujer,50,Elaboración propia
numero de violencia domestica,45,Elaboración propia
#CuarentenaEnRedes,45,Elaboración propia
violence against women and children,44,Elaboración propia
dia de la violencia contra la mujer,43,Elaboración propia
imagenes de violencia contra la mujer,43,Elaboración propia
dia de la mujer,42,Elaboración propia
violence against women,37,Elaboración propia
#NoPodemosSalirPeroSíDenunciar,35,Elaboración propia
law,33,Elaboración propia
the violence against women act,28,Elaboración propia
#EnEstaCasaSomosEquipo,26,Elaboración propia
stop violence against women,24,Elaboración propia
violence against women day,20,Elaboración propia
#YoMeSumoAlaIgualidad,20,Elaboración propia
gender,17,Elaboración propia
legislation,15,Elaboración propia
offense report,11,Elaboración propia
gender violence,8,Elaboración propia
nonviolence,7,Elaboración propia
sentence,7,Elaboración propia
violence against indigenous women,6,Elaboración propia
victim,6,Elaboración propia
brazil,6,Elaboración propia
brazilians,6,Elaboración propia
mexico,6,Elaboración propia
rights,6,Elaboración propia
violence against women and children act,5,Elaboración propia
quarantine,5,Elaboración propia
