Tópicos,Interes,Fuente
Cyberbullying,100,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
School bullying,12,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Media,10,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Bullying,9,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Sexting,9,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Social media,9,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Child grooming,8,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Law,8,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Statistics,8,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Social,7,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Social network,7,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Internet,7,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Violence,6,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Example,6,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Suicide,6,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Cybercrime,6,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Crime,6,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Student,6,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Offense report,5,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Person,5,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Victim,5,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
Delictum,4,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
