Fecha,País,Nombre de la Iniciativa,"Política, Planes, Programas, Iniciativas/Proyectos",Descripción,link
17/04/2020,Antigua y Barbuda,Teleasistencia (línea directa),Proyectos/Iniciativas,"Servicio de asistencia en línea que incluye asesoría, intervenciones familiares y referencias de apoyo.",https://www.facebook.com/675762122516480/photos/a.888056471287043/2916100315149305/?type=3&theater
01/06/2020,Argentina,Plan Nacional de Acción contra las Violencias por Motivos de Género,Planes y Programas,"Actualización del Plan de Violencia contra las mujeres, incorpora el abordaje de las violencias por motivos de género incluyendo a la población LGBTI.",https://www.argentina.gob.ar/sites/default/files/plan_nacional_de_accion_2020_2022.pdf
03/08/2020,Argentina,Encuestas telefónicas sobre Política Criminal,Proyectos/Iniciativas,Aplicación de una encuesta nacional sobre violencia contra las mujeres.,https://www.argentina.gob.ar/justicia/encuestas-telefonicas-sobre-politica-criminal
17/04/2020,Argentina,Programa Articular,Planes y Programas,"El Programa Articular busca fortalecer organizaciones de la sociedad civil en la formulación e implementación de proyectos en ámbitos comunitarios vinculados con las violencias por motivos de género, cuidados y la promoción de la diversidad a través de transferencias de recursos y asistencia técnica. El programa prevé la asistencia financiera para proyectos por sumas de hasta 300.000 pesos.",https://www.argentina.gob.ar/sites/default/files/programa-articular2.pdf
01/04/2020,Argentina,Recomendaciones para gobiernos provinciales y municipales en  materia de políticas de género y diversidad en el contexto de la emergencia sanitaria por el COVID-19,Proyectos/Iniciativas,Compendio de iniciativas y sugerencias en temas de género y diversidad para Municipios y Provincias en contexto de la Emergencia Sanitaria.,https://www.argentina.gob.ar/sites/default/files/recomendacionesgobiernosprovymun.pdf
25/07/2020,Argentina,Programa de Escuelas Populares de Formación en Género y Diversidad,Planes y Programas,"Este programa prevé el apoyo económico y acompañamiento técnico de proyectos de formación en género y diversidad desarrollados, principalmente, por organizaciones de la sociedad civil. Así, se buscarán impulsar proyectos que permitan el intercambio de experiencias significativas que generen reflexiones críticas sobre las relaciones de poder y dominación, desigualdades y violencias.",https://www.argentina.gob.ar/noticias/anunciamos-el-programa-de-escuelas-populares-de-formacion-en-genero-y-diversidad
19/05/2020,Argentina,Capacitamos a las máximas autoridades del Ministerio de Seguridad y de las Fuerzas Federales en el marco de la Ley Micaela,Proyectos/Iniciativas,Capacitación obligatoria para la sensibilización en cuestiones de género y violencia de género para las máximas autoridades del Ministerio de Seguridad de la Nación y de las cuatro fuerzas de seguridad nacionales.,https://www.argentina.gob.ar/noticias/capacitamos-las-maximas-autoridades-del-ministerio-de-seguridad-y-de-las-fuerzas-federales
02/07/2020,Argentina,"Programa para el Apoyo Urgente y la Asistencia Integral Inmediata ante casos de Femicidio, Travesticidio y Transfemicidio",Planes y Programas,"El programa tiene por objeto asistir integralmente a través de una prestación económica, asesoramiento psicológico y/o legal a aquellas personas del grupo familiar y/o allegados/as de víctimas de femicidio, travesticidio y transfemicidio, como parte de la política de abordaje integral.",https://www.argentina.gob.ar/sites/default/files/normativa_completa.pdf
15/04/2020,Argentina,Medidas en materia de género y diversidad en el marco de la emergencia sanitaria,Planes y Programas,"Reforzamiento de las acciones y dispositivos nacionales de atención destinadas a aquellas personas que estén en situaciones de violencia por motivos de género en contexto de distanciamiento social forzoso. En detalle, se reforzaron los canales de atención de la Línea 144, única línea de teléfono de alcance federal abocada a la atención, contención y asesoramiento integral de las personas en situación de violencia por motivos de género, sus familiares y su círculo de confianza. Asimismo, se generó otro canal de comunicación a través de la siguiente dirección de correo electrónico: linea144@mingeneros.gob.ar y https://www.argentina.gob.ar/aplicaciones/linea144-atencion-mujeres. También, se habilitaron líneas de contacto directo a través de WhatsApp para aquellas personas que no puedan llamar por teléfono: (+54) 1127716463 / 1127759047 / 1127759048. Finalmente, se crearon campañas sobre el programa y canales específicos para la vinculación directa con gobiernos provinciales, locales, y con las organizaciones de la sociedad civil, comunitarias y territoriales, a fin de fortalecer los hogares de protección integral y gestionar los recursos necesarios según las demandas que surjan en el marco de la emergencia.
",https://www.argentina.gob.ar/sites/default/files/medidasanteemergenciasanitaria_2.pdf
05/04/2020,Argentina,RESOL-2020-15-APN-MMGYD que considera supuesto de fuerza mayor las situaciones mujeres o personas LGTTBI solas o junto a sus hijos e hijas salgan de sus domicilios,Proyectos/Iniciativas,"RESOL-2020-15-APN-MMGYD que considera supuesto de fuerza mayor todas aquellas situaciones por las cuales las mujeres o personas LGTTBI solas o junto a sus hijos e hijas salgan de sus domicilios a los fines de realizar las pertinentes denuncias penales respecto de hechos de violencia o se dirijan a requerir auxilio, asistencia o protección en razón de la situación de violencia que se encuentren transitando.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/335000-339999/336072/norma.htm
