Date,Hits,Year,Month,Day,Fuente
2020-01-01,8,2020,ene,1,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-02,13,2020,ene,2,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-03,14,2020,ene,3,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-04,16,2020,ene,4,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-05,16,2020,ene,5,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-06,22,2020,ene,6,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-07,22,2020,ene,7,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-08,23,2020,ene,8,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-09,37,2020,ene,9,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-10,32,2020,ene,10,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-11,19,2020,ene,11,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-12,13,2020,ene,12,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-13,31,2020,ene,13,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-14,42,2020,ene,14,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-15,47,2020,ene,15,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-16,41,2020,ene,16,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-17,29,2020,ene,17,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-18,15,2020,ene,18,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-19,20,2020,ene,19,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-20,27,2020,ene,20,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-21,38,2020,ene,21,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
2020-01-22,42,2020,ene,22,"Elaboración propia, método Webscrapping.  Massicotte, P., & Eddelbuettel, D. (2020). gtrendsR: Perform and Display Google Trends Queries (1.4.7) [Computer software]. https://CRAN.R-project.org/package=gtrendsR "
